language: Spanish
countries: mx es
 
"drive" = "distorsión"
"reverb" = "eco"
"delay" = "retrasar"
"width" = "anchura"
"attack" = "ataque"
"release" = "apagarse"
"arpeggiator" = "arpegiador"
"output" = "volumen"
"key" = "clave musical"
"presets" = "preajustes"
"Click left and right arrows to change the musical key" = "Haga clic en las flechas izquierda y derecha para cambiar la clave musical"
"Some presets support rhythmic patterns you can turn on and off" = "Patrones rítmicos que puedes activar y desactivar"
"OKAY" = "BUENO"
"This will just take a few rainbows." = "Esto solo tomará algunos arcoíris"
"Click and drag up and down to change the main volume" = "Haga clic y arrastre hacia arriba y hacia abajo para cambiar el volumen principal"
"Click and drag up and down to add more space" = "Haga clic y arrastre hacia arriba y hacia abajo para agregar más espacio"
"Click and drag up and down to add more grit and dirt" = "Haga clic y arrastre hacia arriba y hacia abajo para agregar más arena y suciedad"
"Click and drag up and down to add more echoes" = "Haga clic y arrastre hacia arriba y hacia abajo para agregar más ecos"
"Click and drag up and down to make your sound more narrow (mono) or more wide (stereo)" = "Haga clic y arrastre hacia arriba y hacia abajo para hacer que su sonido sea más estrecho (mono) o más amplio (estéreo)"
"Click and drag up and down to control how your sounds fade in" = "Haga clic y arrastre hacia arriba y hacia abajo para controlar cómo se desvanecen sus sonidos"
"Click and drag up and down to control how your sounds fade out" = "Haga clic y arrastre hacia arriba y hacia abajo para controlar cómo se desvanecen sus sonidos"
"Click left and right arrows to load different sounds" = "Haga clic en las flechas izquierda y derecha para cargar diferentes sonidos"
"load a preset" = "cargar un preset"
"Success! Enjoy DrumTest from Shout Audio." = "¡Éxito! Disfrute de DrumTest de Shout Audio."
